flight_id,arrival_time,scheduled_time,actual_time,predicted_delay,final_delay,waiting_time,runway,aircraft_type,status
1,1242.75,1246.2914850766576,1242.75,2346.544677734375,-212.4891045994582,0.0,R1,44cdc6,LANDED
2,941.0666666666668,943.3399085879444,1244.75,2323.09228515625,18084.60548472334,18220.999999999993,R1,44cdc6,LANDED
3,622.5333333333333,626.8648738680038,1246.75,2304.114013671875,37193.107567919775,37453.0,R1,44cdc6,LANDED
4,428.06666666666666,432.9076630096094,1248.75,2296.682373046875,48950.540219423434,49241.0,R1,44cdc6,LANDED
5,1294.9333333333334,1296.6210554619684,1294.9333333333334,2347.114501953125,-101.26332771809757,0.0,R1,4601f7,LANDED
6,1154.9833333333331,1156.034174435228,1296.9333333333334,2341.41943359375,8453.94953388633,8517.000000000015,R1,4601f7,LANDED
7,1100.6,1104.6457879900388,1298.9333333333334,2335.7548828125,11657.252720597677,11900.0,R1,4601f7,LANDED
8,1043.5666666666666,1048.3867121180174,1300.9333333333334,2338.107421875,15152.79727291896,15442.0,R1,4601f7,LANDED
9,995.35,1000.0858192275856,1302.9333333333334,2335.724853515625,18170.850846344867,18455.0,R1,4601f7,LANDED
10,941.0166666666668,945.5004011575186,1304.9333333333334,2326.4638671875,21565.975930548888,21834.999999999993,R1,4601f7,LANDED
11,847.05,849.0349215407164,1306.9333333333334,2321.740478515625,27473.90470755702,27593.0,R1,4601f7,LANDED
12,740.1,743.33562175188,1308.9333333333334,2313.501220703125,33935.862694887204,34130.0,R1,4601f7,LANDED
13,587.5333333333333,589.3268166829909,1310.9333333333334,2301.69580078125,43296.39099902055,43404.0,R1,4601f7,LANDED
14,333.56666666666666,337.479865776585,1312.9333333333334,2290.966552734375,58527.2080534049,58762.0,R1,4601f7,LANDED
15,277.0833333333333,279.26439520487884,1314.9333333333334,2287.01416015625,62140.136287707275,62271.0,R1,4601f7,LANDED
16,185.85,189.389425279704,1316.9333333333334,1373.9947509765625,67652.63448321776,67865.0,R1,4601f7,LANDED
17,1276.8,1278.9146219427182,1318.9333333333334,2348.87841796875,2401.122683436911,2528.0,R1,461f63,LANDED
18,960.9833333333332,962.514371951644,960.9833333333332,2326.9423828125,-91.86231709864387,0.0,R2,461f63,LANDED
19,704.6,706.2170590475971,1320.9333333333334,2313.001953125,36882.97645714418,36980.0,R1,461f63,LANDED
20,369.4166666666667,371.1358908284468,1322.9333333333334,2287.565673828125,57107.846550293194,57211.0,R1,461f63,LANDED
21,95.25,98.52330853004018,1324.9333333333334,533.9256591796875,73584.6014881976,73781.0,R1,461f63,LANDED
22,1395.85,1398.717636273599,1395.85,2366.006103515625,-172.05817641594876,0.0,R1,45d964,LANDED
24,799.7833333333333,802.1597965176163,1397.85,2321.012939453125,35741.41220894302,35884.0,R1,45d964,LANDED
23,1110.2666666666669,1112.282259359923,1399.85,2340.335693359375,17254.06443840461,17374.999999999985,R1,45d964,LANDED
25,462.4166666666667,465.70583663688734,1401.85,2298.772705078125,56168.64980178675,56366.0,R1,45d964,LANDED
26,1127.9,1129.4787085343623,1403.85,2340.484130859375,16462.277487938256,16557.0,R1,45caa6,LANDED
27,1027.5833333333333,1032.332659976276,1405.85,2337.923828125,22411.04040142343,22696.000000000007,R1,45caa6,LANDED
28,905.1,907.0447895262704,1407.85,2329.343505859375,30048.31262842377,30165.0,R1,45caa6,LANDED
29,814.6,817.5017204186582,1409.85,2322.1533203125,35540.8967748805,35715.0,R1,45caa6,LANDED
30,472.4,474.65493033944006,1411.85,2293.828857421875,56231.70417963359,56367.0,R1,45caa6,LANDED
31,347.96666666666664,350.9750693680815,1413.85,2288.975341796875,63772.49583791511,63953.0,R1,45caa6,LANDED
32,929.5,931.0707928642312,1415.85,2329.5654296875,29086.752428146123,29181.0,R1,45e613,LANDED
33,701.9333333333333,702.9387673882629,1417.85,2312.881103515625,42894.67395670422,42955.0,R1,45e613,LANDED
34,1270.1,1272.1148141583,1419.85,2352.4306640625,8864.11115050199,8985.0,R1,471f62,LANDED
35,1066.4333333333334,1070.8110037476306,1421.85,2337.870849609375,21062.339775142158,21325.0,R1,471f62,LANDED
37,713.8666666666667,716.2017900034969,962.9833333333332,2311.978515625,14806.892599790182,14946.999999999993,R2,471f62,LANDED
36,896.6,900.6333592417323,1423.85,2324.612548828125,31392.998445496058,31635.0,R1,471f62,LANDED
38,565.5833333333334,567.4307294917131,1425.85,2302.2451171875,51505.15623049721,51616.0,R1,471f62,LANDED
39,457.98333333333335,462.5418797358967,1427.85,2299.052978515625,57918.487215846195,58192.0,R1,471f62,LANDED
40,327.56666666666666,328.83845402015874,1429.85,2289.948974609375,66060.69275879048,66137.0,R1,471f62,LANDED
41,949.85,953.5621706248425,1431.85,2323.09228515625,28697.269762509448,28920.0,R1,49530a,LANDED
43,278.8833333333333,283.1271099774476,1433.85,2284.406982421875,69043.37340135314,69298.0,R1,49530a,LANDED
42,613.0666666666667,616.1939365312534,1435.85,2305.9443359375,49179.36380812479,49367.0,R1,49530a,LANDED
44,507.01666666666665,509.7510375863645,964.9833333333332,2300.3740234375,27313.937744818126,27477.999999999993,R2,4952a3,LANDED
45,1340.0666666666666,1343.7438755664189,1437.85,2361.9306640625,5646.367466014863,5867.0,R1,48c234,LANDED
46,1195.9333333333334,1198.3098036427132,1439.85,2342.8701171875,14492.411781437204,14635.0,R1,48c234,LANDED
47,1046.0,1048.299192890786,1441.85,2333.172119140625,23613.048426552843,23751.0,R1,48c234,LANDED
48,922.5833333333334,924.3421033249824,1443.85,2328.6279296875,31170.47380050105,31276.0,R1,48c234,LANDED
49,789.55,794.1479940834164,1445.85,2324.340087890625,39102.12035499501,39378.0,R1,48c234,LANDED
50,592.6,595.2011621543733,1447.85,2297.413818359375,51158.9302707376,51315.0,R1,48c234,LANDED
51,435.55,437.03300810157873,1449.85,2291.214599609375,60769.019513905274,60858.0,R1,48c234,LANDED
52,315.1,318.01232755015565,1451.85,2286.43115234375,68030.26034699066,68205.0,R1,48c234,LANDED
53,702.05,705.8231271238955,1453.85,2312.259765625,44881.61237256627,45108.0,R1,48fdf8,LANDED
54,949.0833333333334,950.7564599972704,966.9833333333332,2334.538330078125,973.6124001637677,1073.9999999999927,R2,49d4dc,LANDED
55,858.5333333333333,860.4305290723596,968.9833333333332,2323.367919921875,6513.168255658418,6626.999999999993,R2,49d4dc,LANDED
56,1010.9333333333332,1014.9109957485124,1455.85,2340.93603515625,26456.34025508925,26695.000000000007,R1,3c1236,LANDED
57,863.8,866.7076062265409,1457.85,2328.93212890625,35468.54362640754,35643.0,R1,3c4668,LANDED
58,1225.4,1228.5662311733183,1459.85,2348.19921875,13877.026129600894,14067.0,R1,3c6648,LANDED
59,1097.0166666666669,1099.8173547732122,1461.85,2345.4052734375,21721.958713607266,21889.999999999985,R1,3c6648,LANDED
60,847.1,849.0176886038046,1463.85,2323.660400390625,36889.93868377172,37005.0,R1,3c6648,LANDED
61,340.45,344.9515793821796,1465.85,2288.372802734375,67253.90523706921,67524.0,R1,3c6648,LANDED
62,475.1833333333333,478.40388947723386,1467.85,2297.512939453125,59366.766631365965,59560.0,R1,3c5ee9,LANDED
63,359.45,361.4845706343261,1469.85,2289.352783203125,66501.92576194044,66624.0,R1,3c5ee9,LANDED
64,893.6,896.4319285327488,1471.85,2331.26025390625,34525.08428803507,34695.0,R1,3d3699,LANDED
65,854.6,855.7982236900926,1473.85,2324.137939453125,37083.10657859444,37155.0,R1,3d3699,LANDED
66,1069.7166666666667,1070.833833367787,1475.85,2339.853515625,24300.96999793277,24368.0,R1,3ccb16,LANDED
67,972.0666666666668,973.106719127566,1477.85,2329.916015625,30284.596852346036,30346.999999999993,R1,3ccb16,LANDED
68,882.5166666666667,886.728223665294,1479.85,2328.297119140625,35587.30658008235,35840.0,R1,3ccb16,LANDED
69,732.1666666666666,733.5870965523915,1481.85,2313.899658203125,44895.774206856506,44981.0,R1,3ccb16,LANDED
70,911.6,915.845663968386,1483.85,2322.7568359375,34080.26016189683,34335.0,R1,3e4864,LANDED
71,578.0333333333333,580.1141711372694,970.9833333333332,2300.167236328125,23452.149731763828,23576.999999999993,R2,3e4864,LANDED
72,627.9333333333333,632.4427443575898,1485.85,2302.053466796875,51204.4353385446,51475.0,R1,3ddc04,LANDED
73,569.0333333333333,571.2096866832602,1487.85,2299.88720703125,54998.41879900438,55129.0,R1,3ddc04,LANDED
74,352.5,354.1769370016512,1489.85,2287.259033203125,68140.38377990092,68241.0,R1,3ddc04,LANDED
75,479.23333333333335,482.3695967062228,1491.85,2300.284423828125,60568.82419762662,60757.0,R1,3ff72b,LANDED
76,911.5,916.1917026627071,1493.85,2326.81689453125,34659.497840237564,34941.0,R1,3ff7e5,LANDED
77,861.6,863.537417339857,1495.85,2325.732421875,37938.754959608574,38055.0,R1,3ff7e5,LANDED
78,798.85,800.1724317247237,1497.85,2322.0361328125,41860.65409651658,41940.0,R1,3ff7e5,LANDED
79,1048.45,1050.144515001051,1499.85,2335.658447265625,26982.329099936927,27084.0,R1,4a08ed,LANDED
80,899.8,903.9135398341208,1501.85,2322.211669921875,35876.18760995274,36123.0,R1,4a08ed,LANDED
81,754.5,756.7966573551156,1503.85,2313.501220703125,44823.20055869306,44961.0,R1,4a08ed,LANDED
82,510.0833333333333,511.1930812438984,1505.85,2300.66357421875,59679.41512536609,59746.0,R1,4a08ed,LANDED
83,574.3833333333333,576.842395497781,1507.85,2297.193115234375,55860.45627013313,56008.0,R1,4b18ba,LANDED
84,436.4666666666666,439.4131551579168,1509.85,2299.743408203125,64226.210690525,64403.0,R1,4b18ba,LANDED
85,928.0666666666668,932.394983368066,1511.85,2327.655517578125,34767.300997916034,35026.99999999999,R1,4b18fe,LANDED
86,1153.1333333333334,1155.9359420482515,1513.85,2344.45654296875,21474.843477104907,21643.0,R1,4ac9e6,LANDED
87,980.85,982.516750386102,1515.85,2328.4970703125,31999.994976833874,32100.0,R1,4ac9e6,LANDED
88,809.8,814.438041453475,1517.85,2320.805419921875,42204.717512791496,42483.0,R1,4ac9e6,LANDED
89,672.3,674.1474104418447,1519.85,2309.751220703125,50742.15537348931,50853.0,R1,4ac9e6,LANDED
90,517.5333333333333,521.5001121500627,972.9833333333332,2304.499755859375,27088.99327099623,27326.999999999993,R2,4ac9e6,LANDED
91,423.51666666666665,424.85911730437465,1521.85,2289.55029296875,65819.45296173752,65900.0,R1,4ac9e6,LANDED
92,322.05,325.1422558931949,1523.85,2288.091552734375,71922.4646464083,72108.0,R1,4ac9e6,LANDED
93,422.81666666666666,427.1073873653483,1525.85,2292.24560546875,65924.5567580791,66182.0,R1,4aec09,LANDED
95,1003.9,1008.12791960586,1527.85,2331.63623046875,31183.324823648392,31437.0,R1,4c808e,LANDED
94,1144.9833333333331,1148.35979929763,1529.85,2336.285888671875,22889.412042142198,23092.000000000015,R1,4c808e,LANDED
96,879.0666666666667,884.0074268212584,1531.85,2332.59912109375,38870.554390724494,39167.0,R1,4c808e,LANDED
97,764.3333333333334,768.3080817107825,1533.85,2315.545166015625,45932.51509735304,46171.0,R1,4c808e,LANDED
98,645.5166666666667,648.429025282353,1535.85,2310.10888671875,53245.25848305882,53420.0,R1,4c808e,LANDED
99,508.48333333333335,511.7110161941632,1537.85,2303.72998046875,61568.3390283502,61762.0,R1,4c808e,LANDED
100,804.0333333333333,807.3817180735637,1539.85,2317.539306640625,43948.096915586175,44149.0,R1,4ba94b,LANDED
101,18.73333333333333,23.380744206722795,1541.85,1.2906652688980103,91108.15534759664,91387.0,R1,4ba94b,LANDED
102,1267.5666666666666,1270.2641396602528,1543.85,2349.0185546875,16415.151620384826,16577.0,R1,4ba9c1,LANDED
103,737.4166666666666,741.1384513998877,1545.85,2309.088623046875,48282.69291600673,48506.0,R1,4ba9c1,LANDED
104,454.56666666666666,456.251387586458,1547.85,2298.80615234375,65495.91674481252,65597.0,R1,4ba9c1,LANDED
105,117.0,118.63010304459912,1549.85,825.1685180664062,85873.19381732405,85971.0,R1,4ba9c1,LANDED
106,948.5333333333332,950.4957905996762,1551.85,2326.7958984375,36081.25256401942,36199.00000000001,R1,4bab27,LANDED
107,815.9833333333333,819.6966027380362,1553.85,2321.15380859375,44049.203835717824,44272.0,R1,4bab27,LANDED
108,640.9666666666667,645.0000920534881,1555.85,2306.0263671875,54650.994476790715,54893.0,R1,4bab27,LANDED
109,445.06666666666666,446.1605117441872,1557.85,2298.542724609375,66701.36929534876,66767.0,R1,4bab27,LANDED
110,147.78333333333333,151.0542043075472,1559.85,974.5811157226562,84527.74774154717,84724.0,R1,4bab27,LANDED
111,1255.1166666666666,1258.595774581986,1561.85,2350.19287109375,18195.253525080836,18404.0,R1,4bc84e,LANDED
113,956.05,960.8252747678556,1563.85,2331.39599609375,36181.48351392866,36468.0,R1,4bc84e,LANDED
112,1074.6,1077.1414765805291,1565.85,2336.82275390625,29322.511405168247,29475.000000000007,R1,4bc84e,LANDED
114,823.05,826.7547685664263,1567.85,2325.070068359375,44465.71388601442,44688.0,R1,4bc84e,LANDED
115,534.0,536.1756801156267,1569.85,2301.765625,62020.4591930624,62151.0,R1,4bc84e,LANDED
116,155.08333333333334,159.47059118872318,1571.85,1293.849609375,84742.7645286766,85006.0,R1,4bc84e,LANDED
117,900.6,904.8298294685776,1573.85,2329.679931640625,40141.210231885336,40395.0,R1,4bcd05,LANDED
118,791.1833333333333,792.8176642521319,1575.85,2328.12841796875,46981.94014487208,47080.0,R1,4bcd05,LANDED
119,1241.7,1246.242137822513,1577.85,2352.919677734375,19896.47173064921,20169.0,R1,4d2237,LANDED
120,1049.55,1051.2887995157369,1049.55,2335.525146484375,-104.32797094421403,0.0,R2,4d2237,LANDED
