flight_id,callsign,aircraft_type,wake_category,weather_condition,traffic_density,runway,eta,scheduled_landing,ROT,delay_minutes
74,IGO7236,Unknown,Unknown,Clear,High,R2,876,876,2,0
73,IGO1VP,Unknown,Unknown,Clear,High,R1,878,878,2,0
72,BAW118,Unknown,Unknown,Clear,High,R1,885,885,2,0
71,IGO697L,Unknown,Unknown,Clear,High,R1,900,900,2,0
70,AXB1131,Unknown,Unknown,Clear,High,R1,904,904,2,0
69,IGO541,Unknown,Unknown,Clear,High,R2,906,906,2,0
68,AKJ1372,Unknown,Unknown,Clear,High,R1,914,914,2,0
67,IGO6269,Unknown,Unknown,Clear,High,R1,919,919,2,0
66,AXB2875,Unknown,Unknown,Clear,High,R2,920,920,2,0
65,AKJ1421,Unknown,Unknown,Clear,High,R1,923,923,2,0
64,IGO6302,Unknown,Unknown,Clear,High,R2,924,924,2,0
63,IGO405,Unknown,Unknown,Clear,High,R1,927,927,2,0
62,IGO334W,Unknown,Unknown,Clear,High,R1,932,932,2,0
61,IGO473E,Unknown,Unknown,Clear,High,R2,934,934,2,0
60,VIR317,Unknown,Unknown,Clear,High,R1,955,955,2,0
59,IGO103H,Unknown,Unknown,Clear,High,R2,957,957,2,0
58,AKJ784C,Unknown,Unknown,Clear,High,R1,962,962,2,0
57,IGO484,Unknown,Unknown,Clear,High,R2,963,963,2,0
56,IGO183E,Unknown,Unknown,Clear,High,R1,968,968,2,0
55,AXB2097,Unknown,Unknown,Clear,High,R1,974,974,2,0
54,IGO6495,Unknown,Unknown,Clear,High,R2,976,976,2,0
53,AXB2935,Unknown,Unknown,Clear,High,R1,979,979,2,0
52,AXB2926,Unknown,Unknown,Clear,High,R1,992,992,2,0
51,IGO497,Unknown,Unknown,Clear,High,R2,995,995,2,0
50,AXB2013,Unknown,Unknown,Clear,High,R1,997,997,2,0
49,AXB1486,Unknown,Unknown,Clear,High,R1,1008,1008,2,0
48,IGO1167,Unknown,Unknown,Clear,High,R1,1016,1016,2,0
47,AXB2892,Unknown,Unknown,Clear,High,R2,1018,1018,2,0
46,IGO6545,Unknown,Unknown,Clear,High,R1,1020,1020,2,0
45,AXB1489,Unknown,Unknown,Clear,High,R1,1030,1030,2,0
44,IGO364F,Unknown,Unknown,Clear,High,R2,1033,1033,2,0
43,AXB2931,Unknown,Unknown,Clear,High,R1,1039,1039,2,0
42,AXB2786,Unknown,Unknown,Clear,High,R1,1046,1046,2,0
41,FDX6092,Unknown,Unknown,Clear,High,R1,1059,1059,2,0
40,AKJ1323,Unknown,Unknown,Clear,High,R1,1064,1064,2,0
39,IGO7737,Unknown,Unknown,Clear,High,R1,1075,1075,2,0
38,IGO537,Unknown,Unknown,Clear,High,R1,1086,1086,2,0
37,IGO6059,Unknown,Unknown,Clear,High,R1,1095,1095,2,0
36,SDG701,Unknown,Unknown,Clear,High,R2,1096,1096,2,0
35,IGO6583,Unknown,Unknown,Clear,High,R1,1103,1103,2,0
34,SIA7352,Unknown,Unknown,Clear,High,R1,1107,1107,2,0
33,AXB1498,Unknown,Unknown,Clear,High,R2,1109,1109,2,0
32,IGO2CY,Unknown,Unknown,Clear,High,R1,1117,1117,2,0
31,IGO7711,Unknown,Unknown,Clear,High,R2,1118,1118,2,0
30,AXB1502,Unknown,Unknown,Clear,High,R1,1123,1123,2,0
29,IGO904,Unknown,Unknown,Clear,High,R2,1124,1124,2,0
28,AXB1385,Unknown,Unknown,Clear,High,R1,1127,1127,2,0
27,AXB1501,Unknown,Unknown,Clear,High,R1,1143,1143,2,0
26,IGO7HC,Unknown,Unknown,Clear,High,R2,1145,1145,2,0
25,IGO6537,Unknown,Unknown,Clear,High,R1,1157,1157,2,0
24,IGO7577,Unknown,Unknown,Clear,High,R2,1158,1158,2,0
23,AKJ1880,Unknown,Unknown,Clear,High,R1,1171,1171,2,0
22,IGO236,Unknown,Unknown,Clear,High,R1,1179,1179,2,0
21,IGO6535,Unknown,Unknown,Clear,High,R1,1185,1185,2,0
20,IGO6104,Unknown,Unknown,Clear,High,R1,1193,1193,2,0
19,IGO331,Unknown,Unknown,Clear,High,R1,1204,1204,2,0
18,AXB1537,Unknown,Unknown,Clear,High,R2,1207,1207,2,0
17,IGO6653,Unknown,Unknown,Clear,High,R1,1222,1222,2,0
16,AXB2942,Unknown,Unknown,Clear,High,R1,1239,1239,2,0
15,AXB1971,Unknown,Unknown,Clear,High,R1,1245,1245,2,0
14,IGO561J,Unknown,Unknown,Clear,High,R1,1250,1250,2,0
13,IGO6336,Unknown,Unknown,Clear,High,R1,1255,1255,2,0
12,IGO7731,Unknown,Unknown,Clear,High,R1,1262,1262,2,0
11,AXB1386,Unknown,Unknown,Clear,High,R1,1278,1278,2,0
10,IGO6542,Unknown,Unknown,Clear,High,R1,1283,1283,2,0
9,AIC5PB,Unknown,Unknown,Clear,High,R1,1324,1324,2,0
8,AXB2014,Unknown,Unknown,Clear,High,R1,1376,1376,2,0
7,OMA284,Unknown,Unknown,Clear,High,R1,1402,1402,2,0
6,AKJ1361,Unknown,Unknown,Clear,High,R2,1405,1405,2,0
5,IGO4VP,Unknown,Unknown,Clear,High,R1,1413,1413,2,0
4,IGO516,Unknown,Unknown,Clear,High,R2,1416,1416,2,0
3,IGO7223,Unknown,Unknown,Clear,High,R1,1422,1422,2,0
2,IGO472V,Unknown,Unknown,Clear,High,R1,1429,1429,2,0
1,IGO34DH,Unknown,Unknown,Clear,High,R1,1434,1434,2,0
